code,x,y,pattern,iteration
00001101,00011100,-1.125,3.59375,0,2
00001101,00011101,-1.09375,3.59375,0,2
00001100,00011111,-1.03125,3.625,0,2
00001101,00011110,-1.0625,3.59375,0,2
00001101,00011111,-1.03125,3.59375,0,2
00001110,00011101,-1.09375,3.5625,0,2
00001111,00011100,-1.125,3.53125,0,2
00001111,00011101,-1.09375,3.53125,0,2
00001110,00011111,-1.03125,3.5625,0,2
00001111,00011110,-1.0625,3.53125,0,2
00001111,00011111,-1.03125,3.53125,0,2
00010,00001,-1.75,3.5,0,2
00011,00000,-2,3.25,0,2
00011,00001,-1.75,3.25,0,2
000100,000001,-1.875,3.5,0,2
000101,000000,-2,3.375,0,2
000101,000001,-1.875,3.375,0,2
0001000,0000001,-1.9375,3.5,0,2
0001001,0000000,-2,3.4375,0,2
0001001,0000001,-1.9375,3.4375,0,2
00010000,00000001,-1.96875,3.5,0,2
00010001,00000000,-2,3.46875,0,2
00010001,00000001,-1.96875,3.46875,0,2
00010000,00000011,-1.90625,3.5,0,2
00010001,00000010,-1.9375,3.46875,0,2
00010001,00000011,-1.90625,3.46875,0,2
00010010,00000001,-1.96875,3.4375,0,2
00010011,00000000,-2,3.40625,0,2
00010011,00000001,-1.96875,3.40625,0,2
00010010,00000011,-1.90625,3.4375,0,2
00010011,00000010,-1.9375,3.40625,0,2
00010011,00000011,-1.90625,3.40625,0,2
0001000,0000011,-1.8125,3.5,0,2
0001001,0000010,-1.875,3.4375,0,2
0001001,0000011,-1.8125,3.4375,0,2
00010000,00000101,-1.84375,3.5,0,2
00010001,00000100,-1.875,3.46875,0,2
00010001,00000101,-1.84375,3.46875,0,2
00010000,00000111,-1.78125,3.5,0,2
00010001,00000110,-1.8125,3.46875,0,2
00010001,00000111,-1.78125,3.46875,0,2
00010010,00000101,-1.84375,3.4375,0,2
00010011,00000100,-1.875,3.40625,0,2
00010011,00000101,-1.84375,3.40625,0,2
00010010,00000111,-1.78125,3.4375,0,2
00010011,00000110,-1.8125,3.40625,0,2
00010011,00000111,-1.78125,3.40625,0,2
0001010,0000001,-1.9375,3.375,0,2
0001011,0000000,-2,3.3125,0,2
0001011,0000001,-1.9375,3.3125,0,2
00010100,00000001,-1.96875,3.375,0,2
00010101,00000000,-2,3.34375,0,2
00010101,00000001,-1.96875,3.34375,0,2
00010100,00000011,-1.90625,3.375,0,2
00010101,00000010,-1.9375,3.34375,0,2
00010101,00000011,-1.90625,3.34375,0,2
00010110,00000001,-1.96875,3.3125,0,2
00010111,00000000,-2,3.28125,0,2
00010111,00000001,-1.96875,3.28125,0,2
00010110,00000011,-1.90625,3.3125,0,2
00010111,00000010,-1.9375,3.28125,0,2
00010111,00000011,-1.90625,3.28125,0,2
0001010,0000011,-1.8125,3.375,0,2
0001011,0000010,-1.875,3.3125,0,2
0001011,0000011,-1.8125,3.3125,0,2
00010100,00000101,-1.84375,3.375,0,2
00010101,00000100,-1.875,3.34375,0,2
00010101,00000101,-1.84375,3.34375,0,2
00010100,00000111,-1.78125,3.375,0,2
00010101,00000110,-1.8125,3.34375,0,2
00010101,00000111,-1.78125,3.34375,0,2
00010110,00000101,-1.84375,3.3125,0,2
00010111,00000100,-1.875,3.28125,0,2
00010111,00000101,-1.84375,3.28125,0,2
00010110,00000111,-1.78125,3.3125,0,2
00010111,00000110,-1.8125,3.28125,0,2
00010111,00000111,-1.78125,3.28125,0,2
000100,000011,-1.625,3.5,0,2
000101,000010,-1.75,3.375,0,2
000101,000011,-1.625,3.375,0,2
0001000,0000101,-1.6875,3.5,0,2
0001001,0000100,-1.75,3.4375,0,2
0001001,0000101,-1.6875,3.4375,0,2
00010000,00001001,-1.71875,3.5,0,2
00010001,00001000,-1.75,3.46875,0,2
00010001,00001001,-1.71875,3.46875,0,2
00010000,00001011,-1.65625,3.5,0,2
00010001,00001010,-1.6875,3.46875,0,2
00010001,00001011,-1.65625,3.46875,0,2
00010010,00001001,-1.71875,3.4375,0,2
00010011,00001000,-1.75,3.40625,0,2
00010011,00001001,-1.71875,3.40625,0,2
00010010,00001011,-1.65625,3.4375,0,2
00010011,00001010,-1.6875,3.40625,0,2
00010011,00001011,-1.65625,3.40625,0,2
0001000,0000111,-1.5625,3.5,0,2
0001001,0000110,-1.625,3.4375,0,2
0001001,0000111,-1.5625,3.4375,0,2
00010000,00001101,-1.59375,3.5,0,2
00010001,00001100,-1.625,3.46875,0,2
00010001,00001101,-1.59375,3.46875,0,2
00010000,00001111,-1.53125,3.5,0,2
00010001,00001110,-1.5625,3.46875,0,2
00010001,00001111,-1.53125,3.46875,0,2
00010010,00001101,-1.59375,3.4375,0,2
00010011,00001100,-1.625,3.40625,0,2
00010011,00001101,-1.59375,3.40625,0,2
00010010,00001111,-1.53125,3.4375,0,2
00010011,00001110,-1.5625,3.40625,0,2
00010011,00001111,-1.53125,3.40625,0,2
0001010,0000101,-1.6875,3.375,0,2
0001011,0000100,-1.75,3.3125,0,2
0001011,0000101,-1.6875,3.3125,0,2
00010100,00001001,-1.71875,3.375,0,2
00010101,00001000,-1.75,3.34375,0,2
00010101,00001001,-1.71875,3.34375,0,2
00010100,00001011,-1.65625,3.375,0,2
00010101,00001010,-1.6875,3.34375,0,2
00010101,00001011,-1.65625,3.34375,0,2
00010110,00001001,-1.71875,3.3125,0,2
00010111,00001000,-1.75,3.28125,0,2
00010111,00001001,-1.71875,3.28125,0,2
